,Product,Rating,Review,User_Name
0,iphone red,3,Nice,Steevan Rattra 
1,iphone red,5,Worth every penny,Abhishek Sachdeva
2,iphone red,5,Just wow!,Karunakar kummari
3,iphone red,5,Highly recommended,Vijay  Soni
4,iphone red,4,Very Good,Flipkart Customer
5,iphone red,5,Just wow!,Siddharth Kaushik
6,iphone red,5,Just wow!,Manoj Jonesraj Vijayan
7,iphone red,5,Must buy!,Atul Pandey
8,iphone red,5,Great product,SRIKANTH R
9,iphone red,5,Classy product,Amar Warad
10,iphone red,3,Nice,Steevan Rattra 
11,iphone red,5,Worth every penny,Abhishek Sachdeva
12,iphone red,5,Just wow!,Karunakar kummari
13,iphone red,5,Highly recommended,Vijay  Soni
14,iphone red,4,Very Good,Flipkart Customer
15,iphone red,5,Just wow!,Siddharth Kaushik
16,iphone red,5,Just wow!,Manoj Jonesraj Vijayan
17,iphone red,5,Must buy!,Atul Pandey
18,iphone red,5,Great product,SRIKANTH R
19,iphone red,5,Classy product,Amar Warad
